donor,channel,description,Committed USD,Uncommitted USD,,,,,
Unilever,WFP,Awaiting allocation to specific project/sector,0,"500,000",,,,,
United Arab Emirates,Bilateral (to affected government),Provision of sheltering materials to the people who lost their homes,0,0,,,,,
United Kingdom,Bilateral (to affected government),in kind - 64-strong UK search and rescue team with heavy lifting equipment,0,0,,,,,
United Kingdom,UN Agencies and NGOs (details not yet provided),Humanitarian relief work in Haiti,0,"8,467,168",,,,,
United Kingdom,CHASE OT,Humanitarian Assesment (201483-102),"96,476",0,,,,,
United Kingdom,IFRC,Immediate Humanitarian Relief (201483-107),"1,607,937",0,,,,,
United Nations Foundation,Various,To address urgent humanitarian and reconstruction needs,"1,000,000",0,,,,,
United States of America,Bilateral (to affected government),"in kind - teams including up to 72 people, six search and rescue dogs and up to 48 tons of rescue equipment; USAID disaster experts who will help assess the situation in Haiti.",0,0,,,,,
United States of America,"UN Agencies, NGOs and Red Cross",Earthquake relief efforts in Haiti (unallocated balance from orig pledge of US$100 mn.),0,"45,400,428",,,,,
United States of America,USAID,Administrative costs,"49,572",0,,,,,
United States of America,USAID,Initial assistance for the implemetnation of an emergency response program,"50,000",0,,,,,
United States of America,USDHHS,Health (USAID/OFDA),"13,000,000",0,,,,,
United States of America,WFP,Food aid,"18,000,000",0,,,,,
United States of America,USFEMA,Search and rescue (USAID/OFDA),"23,500,000",0,,,,,
UPS Foundation,"UN Agencies, NGOs and Red Cross",In-kind services for shipment of needed supplies,"500,000",0,,,,,
UPS Foundation,"UN Agencies, NGOs and Red Cross",Relief supplies,"500,000",0,,,,,
Uruguay,Bilateral (to affected government),in kind - rescue team of 5 military staff and 5 specialized canines,0,0,,,,,
Venezuela,Bilateral (to affected government),"in kind -  C-130 plane with 49 people on board and 14 tons of tools, medicine, potable water, and non-perishable food items; a team of doctors, rescue workers, military and firemen to help with the search and rescue efforts",0,0,,,,,
Verizon Foundation,WV,Aid for the victims of earthquake,"50,000",0,,,,,
Verizon Foundation,Food for the Poor,Aid for the victims of earthquake,"50,000",0,,,,,
Vodafone Foundation,BRCS,"Support immediate needs, including clean water, sanitation, healthcare and shelter","40,000",0,,,,,
Walmart Foundation,American RC,in kind - pre-packaged food kits,"100,000",0,,,,,
Walmart Foundation,American RC,Emergency relief efforts in Haiti,"500,000",0,,,,,
Walt Disney Corporation,American RC,Humanitarian aid,"100,000",0,,,,,
Wells Fargo & CO,American RC,To be allocated to specific projects,0,"100,000",,,,,
Western Union Foundation,"UN Agencies, NGOs and Red Cross",To be allocated to specific projects,0,"250,000",,,,,
World Bank,Bilateral (to affected government),Emergency aid,0,"100,000,000",,,,,
